sentence,relation,head,head_type,head_offset,tail,tail_type,tail_offset
戴冉，男，1964年7月生，1986年毕业于大连海运学院航海系，副教授、硕士生导师,毕业院校,戴冉,人物,0,大连海运学院,学校,22
赵君，男，汉族，1966年8月生，河北定州人，中共党员，博士，教授，博士生导师,出生地,赵君,人物,0,河北定州,地点,17
个人介绍革命家庭的才女家庭背景赵世兰，1896年生于四川酉阳县（古称“酉阳州”，现属重庆直辖市）的龙潭镇,出生地,赵世兰,人物,15,四川酉阳县,地点,26
《重生之超级经纪人》是蒋瑶创作的网络小说，发表于起点网,连载网站,重生之超级经纪人,网络小说,1,起点网,网站,24
张廷智， 毕业于大连军医学院，从事中医治疗中晚期肿瘤临床工作30余年,毕业院校,张廷智,人物,0,大连军医学院,学校,8
《蛋疼的龙祥》是无名编剧兼导演兼监制—小c的一部搞笑喜剧片，此剧单集平均收视率0,导演,蛋疼的龙祥,影视作品,1,小c,人物,19
尼克·皮佐拉托（nicpizzolatto）美国电影演员，1975年出生于美国路易斯安那州新奥尔良，毕业于阿肯色大学和路易斯安那州立大学,国籍,尼克·皮佐拉托,人物,0,美国,国家,22
俞恩焕  [明]字二酉，浙江平湖诸生,出生地,俞恩焕,人物,0,浙江平湖诸生,地点,12
个人简介区家伟，男，2010年广州亚运会中国澳门代表团成员,国籍,区家伟,人物,4,中国,国家,20
《魔武杀神》是连载于纵横中文网的网络小说，作者是风家少主,连载网站,魔武杀神,网络小说,1,纵横中文网,网站,10
惠若琪，1991年3月4日出生与辽宁大连，司职主攻手，毕业于南京师范大学体育学院，现役中国女子排球队运动员,出生地,惠若琪,人物,0,辽宁大连,地点,16
《方宇传奇》是梦里指江山1269创作的网络小说，发表于起点网,连载网站,方宇传奇,网络小说,1,起点网,网站,27
胡健1，男，1975年6月出生于湖南省长沙市，中国著名企业家,国籍,胡健,人物,0,中国,国家,23
《野蛮女友》是一首由竹子作词，王杰（札西棋连）作曲，ricky ho编曲，王杰演唱的歌曲，收录在专辑《苏醒》中，于2005年09月30日由英皇娱乐发行,所属专辑,野蛮女友,歌曲,1,苏醒,音乐专辑,51
王玉明主任医师毕业于首都医科大学中医药学院，现任北京中医医院风湿科主任、研究生导师、中华医学会风湿病专业委员会委员、北京中医药学会风湿病专业委员副主任委员,毕业院校,王玉明,人物,0,首都医科大学,学校,10
百科名片你知道我要什么，是歌手高明骏演唱的一首歌曲，1989年发行，收录于个人专辑《丛林男孩》中,所属专辑,你知道我要什么,歌曲,4,丛林男孩,音乐专辑,42
昆曲《怜相伴》的筹备阶段，刚刚获奖的刘欣然引起导演关锦鹏的注意，同时，刘欣然又接到了林兆华导演的话剧《老舍五则》的演出邀请,导演,老舍五则,影视作品,51,林兆华,人物,42
《告别了》，歌曲名称，是孙耀威在专辑爱的故事里面的歌曲,所属专辑,告别了,歌曲,1,爱的故事,音乐专辑,18
姓名： 杨箐岩科别：  职称： 主任医师  简历：   女，1976年毕业于河北医科大学医疗系,毕业院校,杨箐岩,人物,4,河北医科大学,学校,38
电视剧《凤囚凰》由李慧珠担任总导演，于正担任艺术总监，正在湖南卫视“钻石独播剧场”热播，每周日、周一22:00准时开播,导演,凤囚凰,影视作品,4,李慧珠,人物,9
《黑猫警长》是上海美术电影制片厂制作的动画电影，由戴铁郎执导，吴磊、林妙可等人参与配音,导演,黑猫警长,影视作品,1,戴铁郎,人物,25
《妖染》是树下野猫创作的网络小说，发表于17k小说网,连载网站,妖染,网络小说,1,17k小说网,网站,20
第二部，重返单身，《重返单身》是韩国sbs电视台于2005年6月8日首播的电视剧，由陈石奎执导，张起虹编剧，金芝荷、金成民主演,导演,重返单身,影视作品,4,陈石奎,人物,42
杨立民，男，1945年4月生，合阳县百良人,出生地,杨立民,人物,0,合阳县百良,地点,15
由 浙江华策影视股份有限公司和康琦影视联合出品的年代女性励志大戏《江南往事》（英文名jiangnan past：），又名”碧血书香梦“将于8,出品公司,碧血书香梦,影视作品,61,浙江华策影视股份有限公司,企业,2
《蜜宠—老婆你最大》是乔茉児写的网络小说连载于潇湘书院,连载网站,蜜宠—老婆你最大,网络小说,1,潇湘书院,网站,23
他们中间有人可以通过短片模仿王家卫导演的《重庆森林》，致敬影片的同时，讲述电影史如何介入影片评价，学院派的专业思路，却不显得无趣,导演,重庆森林,影视作品,21,王家卫,人物,14
陈国军后来又相继执导了《“宝贝”小偷与大盗》、《慰安妇七十四分队》等影片,导演,慰安妇七十四分队,影视作品,24,陈国军,人物,0
电视动画《犬屋敷》改编自日本漫画家奥浩哉的同名漫画，由mappa负责制作，于2017年10月12日起1在富士电视台的noitamina栏目播出，全11话,国籍,奥浩哉,人物,17,日本,国家,12
《上帝创造女人》是 香港歌手刘德华演唱的歌曲 收录于 1999年发行的国语音乐专辑《人间爱》之中,所属专辑,上帝创造女人,歌曲,1,人间爱,音乐专辑,42
李受1，字益之，长沙之浏阳人也,出生地,李受,人物,0,长沙之浏阳,地点,8
《车神》是中国内地首部赛车题材的青春偶像剧，由游达志执导，陆毅、赵薇、李威、安以轩、乔振宇等主演,国籍,陆毅,人物,29,中国,国家,5
后来吴宇森得到了电影《终极标靶》导演的机会，由当时当红的动作明星尚格云顿主演,导演,终极标靶,影视作品,11,吴宇森,人物,2
舒歌平，男，中国神华煤制油有限公司主任工程师,国籍,舒歌平,人物,0,中国,国家,6
《血战异世》是所谓节写的网络小说连载于17k小说网,连载网站,血战异世,网络小说,1,17k小说网,网站,19
丘顺卿是泉州府人，为元朝驸马，官武略大将军,出生地,丘顺卿,人物,0,泉州府,地点,4
明朝末年抗清英雄黄得功，本姓王，安徽合肥人后改姓黄,出生地,黄得功,人物,8,安徽合肥,地点,16
于玮，毕业于四川音乐学院，魏晨的大学同学，中国四川人,毕业院校,于玮,人物,0,四川音乐学院,学校,6
《一马换三羊》是安建执导的年代情感剧，由冯雷、刘威葳、涂松岩、史力嘉等联合主演1,导演,一马换三羊,影视作品,1,安建,人物,8
《九泉客栈》1是作者九号旅店连载于17k小说网的一本悬疑侦探推理小说,连载网站,九泉客栈,网络小说,1,17k小说网,网站,17
2月18日，中国农历大年初三，由中国知名导演张艺谋主创的大型山水实景演出《印象·刘三姐》，春节开演首日连演4场，人气爆棚，接待观众1.5万人次，这也是该剧场每日最大承载量,导演,印象·刘三姐,影视作品,37,张艺谋,人物,22
《恶女花魁》的导演蜷川实花早前已是知名的摄影师，影片充分贯彻了蜷川实花强烈的个人风格——影像瑰丽、色彩强烈，图像的锐利感相当震撼，营造出极为刺激眼球的鲜锐色快对比,导演,恶女花魁,影视作品,1,蜷川实花,人物,9
肖永国，男，汉族，生于1968年3月22日，中共党员，毕业于贵州师范大学,毕业院校,肖永国,人物,0,贵州师范大学,学校,30
《古城堡》是岳夏的音乐作品，收录在《爱你胜过爱自己》专辑中,所属专辑,古城堡,歌曲,1,爱你胜过爱自己,音乐专辑,18
何炅：对于自己首次独挑大梁充满自信并表示毫无压力，《栀子花开》拍摄首日，他便挑战了需要调控现场200多人的大场面戏份，他时而手中拿着对讲机坐在监视器旁边紧盯拍摄，时而深情并茂地为演员讲戏，充分表现出了作为导演的专业素养、与执着敬业的精神,导演,栀子花开,影视作品,26,何炅,人物,0
《给你的年纪》收录于徐誉滕 80后 概念大碟《李雷和韩梅梅》，整张专辑充满校园青春的记忆，这首《给你的年纪》是继专辑中《彩色粉笔》后又一首记录当年的青涩爱情回忆的歌曲,所属专辑,给你的年纪,歌曲,1,李雷和韩梅梅,音乐专辑,23
下川正将，男，1989年3月6日出生，日本著名卡巴迪运动员，代表日本参与多个大型卡巴迪赛事，取得不错的成绩，为日本赢得了荣誉,出生地,下川正将,人物,0,日本,地点,19
宋丹丹在微博上发文为自己的女儿祝贺，其继女赵婷编剧导演的故事片《骑士》已经获得了美国独立精神奖中的四项提名，还被授予了专门表彰女导演的邦妮奖宋丹丹在微博上为女儿取得的成就感动由衷的高兴，她激动地说：“一个中国女孩，在别人的强大领地上独自闯荡且获得如此成就，我太激动太高兴了，必须和大家分享一下,导演,骑士,影视作品,32,赵婷,人物,21
长谷川凉香，日本游泳运动员,国籍,长谷川凉香,人物,0,日本,国家,6
《我恋爱了》是中国台湾歌手张韶涵演唱的一首歌曲，由黄淑惠作曲，王雅君作词，收录于张韶涵在2007年12月14日发行的专辑《ang 5,国籍,张韶涵,人物,13,中国,国家,7
《猫头鹰王国》是扎克·施奈德执导的冒险动画片,导演,猫头鹰王国,影视作品,1,扎克·施奈德,人物,8
洛羽是秋风瑟所著17k小说网连载的架空历史小说,连载网站,洛羽,网络小说,0,17k小说网,网站,8
中国人民解放军251医院军医  代慧珍，女，中国人民解放军251医院军医  年毕业于河北医科大学，2004年获得第四军医大学口腔医学硕士学位,毕业院校,代慧珍,人物,16,河北医科大学,学校,42
《龙玄大陆》是连载于17k小说网的网络小说，作者是圣者无痕,连载网站,龙玄大陆,网络小说,1,17k小说网,网站,10
李森苗，男，汉族，1964年11月出生，浙江余姚人，1990年9月参加工作，1992年1月加入中国共产党，中央党校大学毕业,国籍,李森苗,人物,0,中国,国家,47
《工作狂人》是日本电视台（ntv）制作并播出的11集都市电视剧,出品公司,工作狂人,影视作品,1,日本电视台,企业,7
《金蛇缘》是连载于晋江文学城的一部小说，作者是唐孑,连载网站,金蛇缘,网络小说,1,晋江文学城,网站,9
孙洵，太原中都（今山西省平遥县）人，西晋官员，史学家孙盛之父,出生地,孙洵,人物,0,太原中都,地点,3
庞维宏，中国国籍，36岁，硕士研究生学历，1998年毕业于天津财经大学会计系注册会计师专业,国籍,庞维宏,人物,0,中国,国家,4
李岳樵，1998年毕业浙江大学，现为浙江地理学会会员和中国教育学会、中国地理学会等国家级学会会员，多家杂志报刊特约撰稿人和多家网站版主，嵊州市第三届教学能手和第九届教坛新秀，嵊州市学科带头人、嵊州市地理学科中心大组成员之一，连续多年担任高三毕业班班主任和地理备课组长，地理教研组长和综合组长，成绩优秀，多次被评为学校和县级先进个人和优秀德育工作者，2009年获得市模范教师称号,毕业院校,李岳樵,人物,0,浙江大学,学校,11
"戴维斯·贝尔坦斯（davis bertans），1992年11月12日出生于拉脱维亚瓦尔米耶拉（valmiera, latvia），拉脱维亚职业篮球运动员，司职小前锋，效力于nba圣安东尼奥马刺队",出生地,戴维斯·贝尔坦斯,人物,0,拉脱维亚瓦尔米耶拉,地点,38
《当痞子女爱上黑道少爷》是在小说阅读网上连载的一部热血青春小说，作者是嗜血梦儿,连载网站,当痞子女爱上黑道少爷,网络小说,1,小说阅读网,网站,14
《临终囧事》是杭州和润影视有限公司和博纳影业集团有限公司联合出品的一部惊悚电影,出品公司,临终囧事,影视作品,1,博纳影业集团,企业,18
张剑光，祖籍嘉定，上海人,祖籍,张剑光,人物,0,嘉定,地点,6
《青楼大老板》是在17k小说网连载的架空历史小说，作者是好一朵美丽的茉莉花,连载网站,青楼大老板,网络小说,1,17k小说网,网站,9
宋慈宋慈(1186——1249)，字惠父，汉族，建阳(今属福建南平)人，与理学大师朱熹同乡，祖籍河北邢台市南和县，唐相宋璟后人，生于南宋孝宗淳熙十三年(1186年)，南宋著名法医学家，中外法医界普遍认为是宋慈于公元1235年开创了“法医鉴定学”，因此宋慈被尊为世界法医学鼻祖,出生地,宋慈,人物,0,建阳,地点,24
尽管赵本山在《一代宗师》中戏份并不多，但是王家卫为了精益求精，一些拍好的部分经常推倒重来，赵本山去了剧组10次，就拍了一场戏,导演,《一代宗师》,影视作品,6,王家卫,人物,21
《春妮的周末时光》是北京电视台推出的全景式戏剧访谈节目，由徐春妮担任主持,主持人,春妮的周末时光,电视综艺,1,徐春妮,人物,29
《画太阳》是吕继宏的音乐作品，收录在《军港的晚霞》专辑中,所属专辑,画太阳,歌曲,1,军港的晚霞,音乐专辑,19
歌曲背景《疯狂爱》是乔任梁演唱的歌曲，由吴易纬作词，杨看开谱曲，收录在2012年08月22日发行的ep《耀·出色》中，2013年7月成为电影《夏日示爱》片尾曲,所属专辑,疯狂爱,歌曲,5,耀·出色,音乐专辑,52
罗比奥1，生日1975年5月18日，身高183cm，体重84kg，球衣号码1，国籍西班牙，效力球队邦费雷迪纳，场上位置守门,国籍,罗比奥,人物,0,西班牙,国家,41
钱振民，男，1956年10月生人，毕业于复旦大学，教师,毕业院校,钱振民,人物,0,复旦大学,学校,20
高有品，1975年保山卫生学校（现保山中医药高等专科学校）中医士班毕业，回龙陵县县勐糯乡卫生院工作，1979年底又到保山卫校中医提高班学习两年，于1982年8月结业，仍回原单位从事中医临床工作,毕业院校,高有品,人物,0,保山卫生学校,学校,9
《飞雷》是连载于起点中文网的一本仙侠异侠类小说，作者是石头老徐,连载网站,飞雷,网络小说,1,起点中文网,网站,8
《海》是王梵瑞的音乐作品，收录在《青春》专辑中,所属专辑,海,歌曲,1,《青春》,音乐专辑,16
袁惠群，男，博士，东北大学教授，博士生导师,毕业院校,袁惠群,人物,0,东北大学,学校,9
在教室里入了党1947年11月12日，石家庄解放了，刚刚从华北联合大学教育学院毕业的郑旭光被分配到石家庄第五完小任校长,毕业院校,郑旭光,人物,42,华北联合大学,学校,29
简介姓名：聂旭云  性别：男  学校：电子科技大学  系别：信息安全系  职称：副教授  职务：  学历：博士  　电话：  研究方向：信息安全、密码学  教育背景2004年于首都师范大学取得理学硕士学位，研究方向为有限群论,毕业院校,聂旭云,人物,5,电子科技大学,学校,19
《暖风》是王中言作词，周传雄作曲，周传雄演唱的一首歌曲，收录在专辑《我的心太乱》中,所属专辑,暖风,歌曲,1,我的心太乱,音乐专辑,34
鲁迅美术学院的三位年轻画家牟达器、付巍巍、张贯一，去年以老魏叔巡边故事为题材创作了巨幅油画——《边境线上活界碑——魏德友》，画家们用画笔展现了老魏叔的坚守与担当，兵团人的职责和使命,毕业院校,张贯一,人物,21,鲁迅美术学院,学校,0
不要怪我太多情，是歌手高明骏演唱的一首歌曲，2005年发行，收录于个人专辑《话说从头》中,所属专辑,不要怪我太多情,歌曲,0,话说从头,音乐专辑,38
《小鬼当家》是台湾的一个美食类节目，主持人为黄鸿升，外号小鬼,主持人,小鬼当家,电视综艺,1,黄鸿升,人物,22
基本信息剧情简介吴宇森将筹备多年的《飞虎群英》提上议事日程，并于2009年7月在京与中影集团等多家影视机构签订了联合拍摄协议,导演,飞虎群英,影视作品,18,吴宇森,人物,8
蔡友平，男，汉族，泉州人，1957年出生，工程师，北京大学光华管理学院硕士,出生地,蔡友平,人物,0,泉州,地点,9
爱的花果是高凌风演唱的一首歌曲，所属专辑是《见不到·故乡的爱》,所属专辑,爱的花果,歌曲,0,见不到·故乡的爱,音乐专辑,22
吴均字叔庠，吴兴故鄣人也,出生地,吴均,人物,0,吴兴故鄣,地点,6
《三个字》是魏如萱2011年发行的专辑《不允许哭泣的场合》中的一首单曲,所属专辑,三个字,歌曲,1,不允许哭泣的场合,音乐专辑,20
底气足而牛气的“做书人”，跳过高中上大学的上海知青（1985年毕业于华东师范大学中文系），从抄写退稿信到推出无数好作品的文学编辑——有人曾这样评价郏宗培,毕业院校,郏宗培,人物,73,华东师范大学中文系,学校,34
《跟随感觉爱一回》是17k小说网连载的都市言情小说，作者是小镜子小小,连载网站,爱一,网络小说,5,17k小说网,网站,10
阎建钢打造出《大祠堂》，传达了诚信、责任、担当等正确价值观,导演,大祠堂,影视作品,7,阎建钢,人物,0
在张艺谋导演的《大红灯笼高高挂》这部电影当中，红被导演赋予了多种含义，让红色作为一种象征、具象化所诠释出来，也因为这样，使得观众在看完《大红灯笼高高挂》这部电影之后，因为红而影响深刻,导演,大红灯笼高高挂,影视作品,8,张艺谋,人物,1
文丨于帅由爱奇艺、华夏视听、欢娱影视联合出品的古装权谋言情剧《凤囚凰》已经播出过半,出品公司,凤囚凰,影视作品,31,华夏视听,企业,9
《午夜幻想》是连载于17k小说网的小说，作者是小李飞菜刀,连载网站,午夜幻想,网络小说,1,17k小说网,网站,10
彼岸天（北京）文化有限公司（b&t）创立于2005年3月3日，是中国动画领域享有声誉的专业动画创意公司，该公司由两位清华男生创立，《大鱼·海棠》原作者梁旋21岁从清华大学热能动力专业退学，和清华美院好友张春一起创立了彼岸天，2008年获得联创策源百万美金的风险投资，启动了动画电影处女作《大鱼·海棠》。,导演,大鱼·海棠,影视作品,66,梁旋,人物,75
《穿越终极三部曲莫恒夜》是一部晋江文学城连载的网络小说，作者是恒夜_,连载网站,穿越终极三部曲莫恒夜,网络小说,1,晋江文学城,网站,15
《2007-中国西部油气地质》是2007年石油工业出版社出版的图书，作者是李丕龙,国籍,李丕龙,人物,37,中国,国家,6
《星月泪痕》是一首由林煌坤作词、远藤实作曲的歌曲，收录在邓丽君的《在水一方》专辑内,所属专辑,星月泪痕,歌曲,1,在水一方,音乐专辑,33
云晶子1954年出生于安徽省，早年毕业于中央美院国画系,毕业院校,云晶子,人物,0,中央美院国画系,学校,20
《中国内科秘方全书》是2006年科学技术文献出版社出版的图书，作者是柯源，柯新桥，曹莉,国籍,曹莉,人物,41,中国,国家,1
远藤幸雄由秋田工业高中进入东京教育大学，毕业后在日本大学任教,毕业院校,远藤幸雄,人物,0,东京教育大学,学校,13
萨拉·玛拉芬诺，1982年9月16日出生于纽约，美国演员,出生地,萨拉·玛拉芬诺,人物,0,纽约，美国,地点,21
1941年，程开甲毕业后，留在浙江大学物理系任助教，并开始钻研相对论和基本粒子,毕业院校,程开甲,人物,6,浙江大学,学校,15
白百何（原名白雪），1984年3月1日出生于山东省青岛市市北区，中国内地女演员，毕业于中央戏剧学院,国籍,白雪,人物,6,中国,国家,32
获奖记录获奖时间奖项名称获奖方获奖情况2016年11月16 日第90届日剧学院赏最佳作品　　《卖房子的女人》获奖9最佳女主角北川景子最佳导演猪股隆一、佐久间纪佳、山田信义最佳女配角井本绚子播出信息集次播出日期收视率12016/7/1312,导演,卖房子的女人,影视作品,47,佐久间纪佳,人物,75
《血罪三部曲》是连载于17k小说网的一本东方玄幻类小说，作者是醉梦生,连载网站,血罪三部曲,网络小说,1,17k小说网,网站,11
罗纳尔多·阿帕雷西多·罗德里格斯（葡萄牙语：ronaldo aparecido rodrigues，1982年9月10日－）简称纳尔多（naldo），是一名巴西足球运动员，担任中坚，现效力德甲球会沃尔夫斯堡,国籍,罗纳尔多·阿帕雷西多·罗德里格斯,人物,0,巴西,国家,78
12月，出演由包贝尔首次执导的古装喜剧《欢喜密探》 ，担任女一号春花,导演,欢喜密探,影视作品,20,包贝尔,人物,7
戴春荣她的女儿也在娱乐圈发展，戴春荣的女儿是郝洛钒，87年出生于西安，毕业于中国传媒大学，戴春荣和自己的女儿，在电视剧中，也有过合作，比如林心如的《倾世皇妃》，戴春荣和自己的女儿都出演了这部电视剧,毕业院校,郝洛钒,人物,22,中国传媒大学,学校,38
斯特凡·霍尔姆，全名斯特凡·克里斯蒂安·霍尔姆，1976年5月25日出生，瑞典退役跳高男运动员，身高1米81,国籍,斯特凡·霍尔姆,人物,0,瑞典,国家,37
于是汤唯继续复读再参加高考，终于在2000年考入中央戏剧学院在中戏上学期间，汤唯参加了学校的社团活动和公益活动,毕业院校,汤唯,人物,2,中央戏剧学院,学校,24
林菱（1977年9月9日），福建人，中国乒乓球运动员，现代表中国香港队打球,国籍,林菱,人物,0,中国,国家,18
《迷人的杭盖》是一首由布仁巴雅尔演唱的歌曲，收录于专辑《天边》中,所属专辑,迷人的杭盖,歌曲,1,天边,音乐专辑,28
埃希迪奥·阿雷瓦罗·里奥斯现年27岁，1982年9月27日生于乌拉圭第三大城市派桑杜，球场上司职中锋，现效力于乌拉圭佩纳罗尔俱乐部,出生地,埃希迪奥·阿雷瓦罗·里奥斯,人物,0,乌拉圭,地点,31
1991年谢铁骊导演在一本挂历上发现了她，几经周折找到了在校的她，邀请她出演了电影《古墓荒斋》，饰演了剧中美丽善良的小狐狸娇娜,导演,古墓荒斋,影视作品,42,谢铁骊,人物,5
10月4日，凤凰传奇携手中国爱乐乐团，在北京世纪剧院举办了“中国爱乐乐团 凤凰传奇音乐作品交响演奏会”，作为成团十周年纪念,国籍,凤凰传奇,人物,6,中国,国家,12
据了解该剧是青年导演刘猛继《我是特种兵》系列、《特警力量》后，首部表现武警特战题材的电视剧，被誉为武警题材的“雄性力作”,导演,我是特种兵,影视作品,14,刘猛,人物,10
《酒城破晓》是一部电视剧，导演是康洪雷,导演,酒城破晓,影视作品,1,康洪雷,人物,16
《校园的夏天》是决明子_大麦茶创作的网络小说，发表于17k小说网,连载网站,校园的夏天,网络小说,1,17k小说网,网站,26
《决战关东》是由祁德恕执导的一部电视剧，由李幼斌、张运济等主演,导演,决战关东,影视作品,1,祁德恕,人物,8
个人简历张春生，男，汉族，1963年2月出生，河北新乐人，1981年8月参加工作，1988年12月加入中国共产党，中央党校函授学院河北分院经济管理专业大学学历,出生地,张春生,人物,4,河北新乐,地点,23
《武道乾坤》是在起点中文网上连载的网络小说，小说的作者是新版红双喜,连载网站,武道乾坤,网络小说,1,起点中文网,网站,8
并不是所有人都可以上得了《金星秀》，对于明星的邀请，金星的心里也自有一把标尺：“有的人不见得敢和我聊，而且我敢问很多问题，他们不见得敢回答,主持人,金星秀,电视综艺,13,金星,人物,26
《我真的好想爱你》，林良乐演唱歌曲，专辑是《温柔的慈悲》,所属专辑,我真的好想爱你,歌曲,1,温柔的慈悲,音乐专辑,22
《你心有我》是一首由林子祥演唱的粤语歌曲，收录在1993年发行的粤语专辑《93创作歌集》中,所属专辑,你心有我,歌曲,1,93创作歌集,音乐专辑,37
"《复仇者联盟2：奥创纪元》，克拉克·盖博都来了，《红衫泪痕》《呼啸山庄》导演威廉·惠勒执导《夜魔侠》由布鲁斯·本内特（《泰山的新冒险》《撒哈拉》）出演《神奇四侠》由洛克·哈德森（《苦雨恋春风》《湖畔春晓》）, 蒂比·海德莉（《群鸟》）, 泰布·亨特（《海底之城》）, 费斯·帕克（《火车大劫案》）主演",导演,呼啸山庄,影视作品,31,威廉·惠勒,人物,38
朱鲜野，1983年7月毕业于吉林工学院应用数学专业，毕业后分配到我院从事数学教学工作，1985年加入中国共产党，2011年聘为教授,毕业院校,朱鲜野,人物,0,吉林工学院,学校,14
方玲之，江西弋阳人,出生地,方玲之,人物,0,江西弋阳,地点,4
"任伊平,字钟灵，又号森北，1892年5月生，湖南省岳阳县乌江乡乐园村人",出生地,任伊平,人物,0,湖南省岳阳县乌江乡乐园村,地点,22
《少林弟子在都市》是初恋南瓜创作的网络小说，发表于17k小说网,连载网站,少林弟子在都市,网络小说,1,17k小说网,网站,25
《莽仙》是开心人生在17k小说网上连载的一本小说,连载网站,莽仙,网络小说,1,17k小说网,网站,10
剧情简介李亚鹏公司方春天传媒2005年再推大戏，2005年十一期间，22集轻喜电视剧《好人李成功》在北京正式开机拍摄,出品公司,好人李成功,影视作品,43,春天传媒,企业,10
陈艾，男，1938年出生，祖籍江苏丹阳，1954—1956年就读于上海交通大学电讯工程系，迁校至成电后，59年毕业,毕业院校,陈艾,人物,0,上海交通大学,学校,33
